tconst,averageRating,numVotes
tt0332280,7.8,665991
tt15239678,8.5,663419
tt3890160,7.5,662419
tt0936501,7.7,660967
tt0234215,7.2,657854
tt1024648,7.7,656509
tt0240772,7.7,655955
tt1396484,7.3,655778
tt0411008,8.3,653497
tt0120363,7.9,652609
tt6966692,8.2,652184
tt1156398,7.5,651921
tt2119532,8.1,651650
tt11286314,7.2,648867
tt0443706,7.7,647574
tt0119654,7.3,647556
tt0119488,8.2,647277
tt2872718,7.8,647192
tt2560140,9.1,643433
tt4154664,6.7,642730
tt0455275,8.3,642246
tt6723592,7.3,641728
tt0926084,7.7,641094
tt0120735,8.1,640116
tt0034583,8.5,639356
tt6644200,7.5,638134
tt0417741,7.6,637486
tt8111088,8.6,635503
tt1219289,7.4,635147
tt0116629,7.0,634398
tt0796366,7.9,632283
tt10048342,8.5,631691
tt1232829,7.2,629371
tt1727824,7.9,628959
tt1343092,7.2,627241
tt0365748,7.9,625954
tt1517268,6.8,624679
tt2306299,8.5,624677
tt0470752,7.7,623643
tt1276104,7.4,621065
tt1323594,7.6,617218
tt0450259,8.0,613501
tt1250777,7.6,613276
tt6320628,7.4,612124
tt0097165,8.1,609204
tt0181689,7.6,608802
tt0096874,7.8,605650
tt2310332,7.4,603597
tt0409459,7.6,602783
tt0290334,7.4,602570
tt0343818,7.1,602559
tt4972582,7.3,601496
tt0112641,8.2,601261
tt0454921,8.0,601014
tt0332452,7.3,600517
tt1022603,7.6,600364
tt5180504,7.9,600344
tt0258463,7.8,600288
tt1570728,7.4,600199
tt1318514,7.6,597193
tt1457767,7.5,595956
tt1298650,6.6,593461
tt0071853,8.2,593416
tt6710474,7.8,591097
tt2948356,8.0,591078
tt5027774,8.1,590632
tt2713180,7.6,588962
tt1270797,6.6,588448
tt6468322,8.2,582368
tt1659337,7.9,577760
tt10811166,8.5,577085
tt1483013,7.0,576401
tt0356910,6.5,575923
tt0945513,7.5,572438
tt1872181,6.6,572330
tt0185906,9.4,571635
tt0412142,8.7,571210
tt0095953,8.0,571079
tt0467406,7.4,565920
tt0242653,6.7,565522
tt2872732,6.4,564903
tt0376994,6.6,564287
tt1411697,6.5,563130
tt0314331,7.5,562224
tt0441773,7.6,559733
tt0458525,6.5,559444
tt0087469,7.5,557582
tt0367594,6.7,557536
tt0425112,7.8,556788
tt2179136,7.3,556765
tt1229238,7.4,555723
tt0047396,8.5,554133
tt0206634,7.9,553747
tt4425200,7.4,552535
tt0800080,6.6,551774
tt0099487,7.8,551552
tt0475784,8.4,551215
tt1856010,8.6,550796
tt0268380,7.5,550201
tt1663662,6.9,549664
tt0289879,7.6,545475
tt1630029,7.5,544822
tt0449059,7.8,544474
tt1979320,8.1,544313
tt1790864,6.8,543941
tt1477834,6.8,543315
tt0057012,8.3,542769
tt0141842,9.2,541663
tt1950186,8.1,540849
tt0298148,7.4,539128
tt0790636,7.9,539000
tt2245084,7.8,537447
tt0092099,7.0,536468
tt0038650,8.6,533798
tt0119116,7.6,532455
tt1951265,6.6,531401
tt0448157,6.4,531395
tt3183660,7.2,530204
tt0398286,7.7,528963
tt2527338,6.4,526385
tt6263850,7.5,526113
tt9419884,6.9,525974
tt1677720,7.4,525511
tt1442437,8.5,524943
tt1895587,8.1,524277
tt1632701,8.4,522416
tt0362227,7.4,521081
tt0460681,8.4,520825
tt1596363,7.8,520366
tt1291584,8.1,519534
tt1454029,8.1,518645
tt1568346,7.8,518586
tt3397884,7.7,517291
tt0335266,7.7,516386
tt1430132,6.7,516164
tt0289043,7.5,515739
tt0317219,7.3,514009
tt3322312,8.6,513648
tt1723121,7.0,512602
tt1800241,7.2,512496
tt1099212,5.3,512300
tt1535109,7.8,511733
tt1840309,6.6,509926
tt2707408,8.7,509749
tt0327056,7.9,509730
tt0458352,7.0,509644
tt0084787,8.2,507087
tt0367882,6.2,506770
tt0099088,7.5,506676
tt12593682,7.3,506456
tt1408101,7.7,506010
tt5753856,8.7,505956
tt0117060,7.2,505772
tt2103281,7.6,503903
tt0372183,7.7,503850
tt0139654,7.8,502232
tt0319262,6.5,501954
tt2980516,7.7,501319
tt0407304,6.6,496952
tt0101414,8.0,496911
tt0974015,6.0,496850
tt0387564,7.6,496520
tt1515091,7.4,495597
tt1210166,7.6,494433
tt0325710,7.8,493838
tt0217505,7.5,493080
tt0347149,8.2,492955
tt0103639,8.0,490819
tt0405422,7.1,490422
tt0887912,7.5,487997
tt11198330,8.3,487880
tt0120616,7.1,487747
tt2283362,7.0,487340
tt0446029,7.5,486704
tt0830515,6.5,486507
tt0033467,8.2,485838
tt1772341,7.7,485756
tt1535108,6.6,485059
tt11564570,7.1,484875
tt2379713,6.8,484779
tt0093773,7.8,484675
tt0070047,8.1,484633
tt3385516,6.8,483865
tt0780536,7.9,483593
tt1499658,6.9,482171
tt1355644,7.0,481581
tt5095030,7.0,480700
tt9362722,8.5,478609
tt1259521,7.0,478158
tt0382625,6.6,476682
tt0765429,7.8,476385
tt0942385,7.1,476164
tt0087332,7.8,475142
tt2584384,7.9,474138
tt9376612,7.3,473022
tt0093779,8.0,472915
tt1637688,6.7,472824
tt0319061,8.0,472499
tt3170832,8.1,472180
tt6264654,7.1,471806
tt0092005,8.1,471432
tt2382320,7.3,471267
tt0120591,6.7,470267
tt0377092,7.1,470056
tt9764362,7.2,469377
tt0119567,6.6,468025
tt0119698,8.3,467951
tt1217209,7.1,467687
tt1187043,8.4,466968
tt0443453,7.4,465783
tt0351283,6.9,465167
tt5580390,7.3,464616
tt1605783,7.6,464393
tt6146586,7.4,463985
